 Variables , 1975 1Q , 1975 2Q , 1975 3Q , 1975 4Q , 1976 1Q , 1976 2Q , 1976 3Q , 1976 4Q , 1977 1Q , 1977 2Q , 1977 3Q , 1977 4Q , 1978 1Q , 1978 2Q , 1978 3Q , 1978 4Q , 1979 1Q , 1979 2Q , 1979 3Q , 1979 4Q , 1980 1Q , 1980 2Q , 1980 3Q , 1980 4Q , 1981 1Q , 1981 2Q , 1981 3Q , 1981 4Q , 1982 1Q , 1982 2Q , 1982 3Q , 1982 4Q , 1983 1Q , 1983 2Q , 1983 3Q , 1983 4Q , 1984 1Q , 1984 2Q , 1984 3Q , 1984 4Q , 1985 1Q , 1985 2Q , 1985 3Q , 1985 4Q , 1986 1Q , 1986 2Q , 1986 3Q , 1986 4Q , 1987 1Q , 1987 2Q , 1987 3Q , 1987 4Q , 1988 1Q , 1988 2Q , 1988 3Q , 1988 4Q , 1989 1Q , 1989 2Q , 1989 3Q , 1989 4Q , 1990 1Q , 1990 2Q , 1990 3Q , 1990 4Q , 1991 1Q , 1991 2Q , 1991 3Q , 1991 4Q , 1992 1Q , 1992 2Q , 1992 3Q , 1992 4Q , 1993 1Q , 1993 2Q , 1993 3Q , 1993 4Q , 1994 1Q , 1994 2Q , 1994 3Q , 1994 4Q , 1995 1Q , 1995 2Q , 1995 3Q , 1995 4Q , 1996 1Q , 1996 2Q , 1996 3Q , 1996 4Q , 1997 1Q , 1997 2Q , 1997 3Q , 1997 4Q , 1998 1Q , 1998 2Q , 1998 3Q , 1998 4Q , 1999 1Q , 1999 2Q , 1999 3Q , 1999 4Q , 2000 1Q , 2000 2Q , 2000 3Q , 2000 4Q , 2001 1Q , 2001 2Q , 2001 3Q , 2001 4Q , 2002 1Q , 2002 2Q , 2002 3Q , 2002 4Q , 2003 1Q , 2003 2Q , 2003 3Q , 2003 4Q , 2004 1Q , 2004 2Q , 2004 3Q , 2004 4Q , 2005 1Q , 2005 2Q , 2005 3Q , 2005 4Q , 2006 1Q , 2006 2Q , 2006 3Q , 2006 4Q , 2007 1Q , 2007 2Q , 2007 3Q , 2007 4Q , 2008 1Q , 2008 2Q , 2008 3Q , 2008 4Q , 2009 1Q , 2009 2Q , 2009 3Q , 2009 4Q , 2010 1Q , 2010 2Q , 2010 3Q , 2010 4Q , 2011 1Q , 2011 2Q , 2011 3Q , 2011 4Q , 2012 1Q , 2012 2Q , 2012 3Q , 2012 4Q , 2013 1Q , 2013 2Q , 2013 3Q , 2013 4Q , 2014 1Q , 2014 2Q , 2014 3Q , 2014 4Q , 2015 1Q , 2015 2Q , 2015 3Q , 2015 4Q , 2016 1Q , 2016 2Q , 2016 3Q , 2016 4Q , 2017 1Q , 2017 2Q , 2017 3Q , 2017 4Q , 2018 1Q , 2018 2Q , 2018 3Q , 2018 4Q , 2019 1Q , 2019 2Q , 2019 3Q , 2019 4Q , 2020 1Q , 2020 2Q 
" Gross Domestic Product At Current Prices, By Industry (SSIC 2015 Version 2018), Quarterly ** Â  (Million Dollars) ",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
 GDP At Current Market Prices ,"3,209.40","3,307","3,519.30","3,693","3,545.10","3,620.20","3,846.50","3,991.60","3,873.50","3,963.10","4,172.40","4,344.20","4,284.10","4,376.80","4,695.80","4,980.70","4,768.50","5,061.60","5,461.20","5,849.90","6,017.10","6,246.60","6,617.90","6,988","6,974.40","7,298.30","7,845.20","8,234.10","8,064.30","8,199","8,617.10","9,100.80","8,816","9,329.50","9,797.80","10,114.70","9,931","10,225.80","10,668.80","10,904.80","10,440.20","10,180.70","10,219.90","10,022","9,769","9,961.40","10,288","10,874.30","10,427.30","10,982.50","11,725.20","12,414.50","12,109.60","12,854.70","13,803","14,665","13,954.60","14,854.30","15,789.20","16,710.40","16,669.50","17,087.70","17,930.10","18,805","18,521","19,058.10","20,151.60","20,812.10","19,958.90","20,381.90","21,674.30","22,905.10","22,554.20","23,633.70","24,980.30","26,754.90","26,288.30","26,949","29,045","30,273.10","28,926.80","30,105.40","32,070.80","33,360.30","32,774.30","33,179","33,910.50","35,913.40","34,790.50","36,840.40","38,251.60","38,781.90","35,996.40","35,854.70","35,884.40","35,739.40","33,909.90","36,198.80","37,466.30","38,677.50","38,264.80","40,050.20","42,949.80","44,367.60","41,459.40","40,180.20","39,432.80","39,813.20","40,549.30","41,324.70","41,446.20","42,377.90","42,119.50","40,129.50","42,593.90","45,275","46,629.90","46,731.10","49,227.60","51,844.40","50,503.10","51,193.30","53,712.80","57,313.80","55,792.40","57,286.50","59,703.40","63,376.50","63,562","66,974","70,005.20","72,156.40","68,713.80","68,444.90","70,075.90","66,707","64,780.70","68,325.90","72,667.90","76,620","77,894.60","81,297.40","81,821.50","85,966.60","86,446.50","86,328.40","88,232.80","90,360.20","91,100.60","92,593","90,228.10","94,848.80","93,773","95,587.20","96,028.30","99,481.80","97,120.80","98,340.90","99,544.70","103,941.50","103,265.10","104,436.60","106,263.80","109,478.60","106,010","107,670.70","109,770.30","116,767.20","115,703.60","114,447.30","116,683.20","125,245","120,635.10","123,701.70","127,699","131,359.40","125,745.40","125,250.60","127,910.50","128,661.20","122,903.70","102,636.50"
 Goods Producing Industries ,"1,014.20","1,090.90","1,205.70","1,269.60","1,166.60","1,247.60","1,341.60","1,348.20","1,282.80","1,366.20","1,433.30","1,435.70","1,381.20","1,466.90","1,558.30","1,658.50","1,559.70","1,778.70","1,919.80","2,064.30","2,148.40","2,344.50","2,411.80","2,509.20","2,423.30","2,649.50","2,842.60","2,978.90","2,818.80","2,885","3,044","3,036.50","3,015.20","3,395.80","3,542.30","3,599.70","3,524.90","3,814.80","3,876.80","3,901.70","3,552.30","3,433.60","3,392.40","3,145","3,141.30","3,515.90","3,576.40","3,606.80","3,332.40","3,717.10","3,980.80","4,077.60","4,001.20","4,513","4,878.80","4,773.50","4,485.30","4,931.30","5,212.50","5,281","4,905.90","5,383.10","5,788.40","5,903.50","6,132.10","6,292.30","6,689.30","6,701.70","6,288.80","6,650","7,103.70","7,543.40","7,257","7,757","8,244.30","8,381.40","8,094.70","8,766.10","9,209.20","9,359.50","8,689.30","9,649.70","10,298.80","10,738.80","10,426.40","10,644.50","10,643.20","11,333.90","10,354.30","11,258.40","12,243.30","12,532.20","11,584.10","11,527.40","11,627.20","11,459.20","10,787.70","11,144.20","11,587.40","11,755.90","11,864.10","12,679.40","14,337.50","15,033.40","12,884.90","12,242.40","11,925.60","11,956.10","12,138.60","12,982.10","13,008.50","12,933.50","12,553.70","12,164.40","12,910.80","13,892.90","14,200.20","15,067.40","16,034.70","16,802.60","15,536.90","16,063.90","17,113.80","18,213.80","17,042.80","18,236","18,799.50","18,996.70","18,364.80","18,981.50","19,980.60","19,761","17,942.80","18,092.70","19,002.30","17,438.30","15,958.80","18,384.10","20,833.20","21,231.40","20,738.50","22,312.10","21,851.80","22,312.40","22,085","22,016.20","22,328.60","22,449.10","22,988.70","23,747.30","22,750.70","22,912.90","21,280.90","22,409.90","23,159.20","23,516.20","23,202.30","24,021.30","24,757.90","24,580.30","24,836.80","26,180.20","26,063.80","25,905.20","23,963.90","25,484.10","25,743.70","27,496.10","26,726.20","26,434.60","27,587.50","29,628","28,285.40","30,799.70","33,733.70","34,480.10","31,413.50","30,958.90","32,894.30","29,195.40","31,006.30","26,011.60"
 Manufacturing ,654.9,692.9,785.1,810.1,744.8,793.6,877.8,896.9,843.6,913.9,968.3,969.5,958.7,"1,026.80","1,113.20","1,180.50","1,103.50","1,297.30","1,419.30","1,518.20","1,589.70","1,707.10","1,758.10","1,807.30","1,758","1,935.20","2,065.80","2,059.10","1,900.90","1,878.20","1,939.10","1,857.20","1,845.50","2,053.30","2,150","2,120.10","2,038.90","2,273.20","2,291.60","2,327.60","2,070.10","2,109.70","2,066.90","1,973","1,973.10","2,278.40","2,452.80","2,543.10","2,308.40","2,657.40","2,935.10","3,072","2,983.90","3,457.70","3,798.80","3,693.90","3,414","3,893.50","4,103.20","4,101.10","3,796","4,222.10","4,577.20","4,607.80","4,826.90","4,957.30","5,171.90","5,040.80","4,648.30","4,990.20","5,353.50","5,685.80","5,505.60","5,910.10","6,245.50","6,302.40","5,955.30","6,684.80","6,916.80","7,034","6,552.40","7,371.70","7,841","8,087.50","7,792.60","7,827.20","7,642.90","8,193.10","7,373.20","8,056.90","8,630.70","8,870.60","8,126","8,060.70","8,221.80","8,142.30","7,577.10","8,242.10","8,655.80","8,944.70","9,220.80","10,097.70","11,456.40","12,060.10","9,987.10","9,397.70","9,031.50","9,222.40","9,497.90","10,571.20","10,485.60","10,435.10","10,250.70","9,903.50","10,522.50","11,453.70","11,810","12,818","13,688.60","14,412.40","13,159.20","13,862.60","14,791.20","15,785.50","14,514.60","15,847.70","16,162","16,242","15,362.80","16,262.20","16,941.30","16,397.50","14,482.50","14,278.60","14,831.30","12,800.30","11,462.50","13,734.40","16,047.70","16,006.30","16,007.80","17,493.50","17,049.70","17,375.30","17,381.40","17,114","17,181.40","17,130","17,745.50","18,319.60","17,166.40","17,265.70","15,965.60","16,885.90","17,425.10","17,608.40","17,252.60","17,994.70","18,447","18,115.40","18,476.30","19,581.80","19,376.40","19,163.70","17,600.30","18,990","19,386.20","21,295.10","20,808.70","20,681.30","21,835.90","23,683.90","22,562.70","25,174","28,045.90","28,628.80","25,482.60","25,134.50","26,921","22,973.10","25,068.50","22,871.10"
 Construction ,228.5,256.3,272.6,294.9,271.7,301.4,305.9,290.3,278.5,293.4,300.5,290,254.5,270.9,266.8,291.9,267.5,294.7,295.2,329.9,344.9,379,392.3,439.1,441.2,480.6,528.5,647.4,646.7,739.2,813.4,880.3,879.4,"1,032.30","1,076.90","1,166.70","1,169","1,220.10","1,247.30","1,248.10","1,159.50","1,005.80","1,000.20",877.3,856.1,872.3,722.6,685.4,695.7,742.7,729,670.2,672.8,691.8,702.2,693.6,704,694.8,752.8,811.1,748.7,762.2,794.1,921.9,952.6,940.8,"1,097.30","1,268.10","1,248.20","1,250.60","1,340","1,476.60","1,343.70","1,400.20","1,515","1,594.30","1,641.10","1,576.60","1,767","1,830.70","1,625.90","1,732.90","1,918.60","2,050.60","2,097.40","2,186.20","2,316.20","2,481.20","2,348.90","2,473","2,835.30","2,889.10","2,715.80","2,673.80","2,707.80","2,591.10","2,454","2,199.90","2,222","2,168.10","2,018.40","1,948.60","2,101.30","2,123.20","1,999.50","1,909.90","1,990.60","1,884.60","1,811.40","1,599.20","1,653.10","1,621.80","1,495.80","1,434.90","1,550","1,544.90","1,499.20","1,369.40","1,465.20","1,510.80","1,553.50","1,381.90","1,485.60","1,589.70","1,597.50","1,447.20","1,658.90","1,781.70","1,912.20","1,758","2,063","2,362.60","2,473.70","2,720.70","3,230.50","3,546.30","3,604.30","3,575.50","3,766.70","4,043.40","3,612","3,579.10","3,564.30","3,649.80","3,485.10","3,505","3,819.70","4,030.20","3,973.80","4,003.60","4,172.60","4,275","4,096.10","4,109.50","4,348.60","4,573.10","4,670.90","4,617","4,885.20","5,010.70","4,876.60","5,105","5,201.40","5,250.80","4,986.40","5,063.10","4,891.10","4,728.80","4,607","4,326","4,320.60","4,495.60","4,330.70","4,104.10","4,182.40","4,390","4,461.10","4,269.50","4,399.20","4,659.50","4,458.80","1,793.30"
 Utilities ,61.3,71.2,73.5,83.2,73.4,76.8,81,83.8,78.8,82.5,83.4,89.9,93.7,95.8,100.6,106.1,116.3,109.1,120.6,123.4,125.9,161.6,162.5,155.9,123.2,128.4,136.6,146.2,155.8,161.1,175.3,180.6,179.8,197.7,205.3,197.5,200.7,210.9,228.9,215.4,221.9,224,229.9,208.6,236,294,328.1,305.3,264.7,253.9,254.2,273.8,289.7,307.7,323.2,328.4,311.2,291.9,302.4,311.9,303.8,344.6,362.1,312.4,303.9,344.2,371.6,343.6,347.5,367.4,370.9,339.3,366.8,404.8,441.1,441,449.5,456.9,477.5,444.4,466.9,501.7,494.1,553,488.3,579.8,632.7,606.7,582.4,676.7,729.6,724.2,699.2,753.6,660.2,685.8,718.3,661.5,668.9,600.1,585.6,595.9,740.9,812.9,863.4,901.1,871.4,817.3,798.7,781.9,840.7,848.4,780.3,800.7,812.7,868.1,865.2,855.8,849.9,852.2,794.2,791.9,807.5,808.5,900.2,913.8,952.2,941.8,"1,058.20",933.2,948.3,971.7,955.1,"1,065.70",913.3,"1,064.60",861,"1,047.80",992,"1,151","1,089.80","1,209.50","1,208.10","1,257.60","1,186.20","1,367.90","1,299.20","1,257","1,238.30","1,393.20","1,381.40","1,341.60","1,186","1,382.60","1,351.80","1,301","1,244.10","1,376.20","1,390.10","1,419.90","1,448.20","1,459.80","1,450.60","1,457.30","1,341.70","1,396.10","1,432.90","1,436.90","1,276.40","1,394.30","1,392.10","1,414.30","1,358.90","1,487.70","1,467.30","1,423.40","1,434.80","1,520","1,532.20","1,524","1,443.80","1,319.30"
 Other Goods Industries * ,69.5,70.5,74.5,81.4,76.7,75.8,76.9,77.2,81.9,76.4,81.1,86.3,74.3,73.4,77.7,80,72.4,77.6,84.7,92.8,87.9,96.8,98.9,106.9,100.9,105.3,111.7,126.2,115.4,106.5,116.2,118.4,110.5,112.5,110.1,115.4,116.3,110.6,109,110.6,100.8,94.1,95.4,86.1,76.1,71.2,72.9,73,63.6,63.1,62.5,61.6,54.8,55.8,54.6,57.6,56.1,51.1,54.1,56.9,57.4,54.2,55,61.4,48.7,50,48.5,49.2,44.8,41.8,39.3,41.7,40.9,41.9,42.7,43.7,48.8,47.8,47.9,50.4,44.1,43.4,45.1,47.7,48.1,51.3,51.4,52.9,49.8,51.8,47.7,48.3,43.1,39.3,37.4,40,38.3,40.7,40.7,43,39.3,37.2,38.9,37.2,34.9,33.7,32.1,31.8,30.6,29.8,29.1,28.2,26.9,25.3,25.6,26.2,25.8,24.2,31,27.2,30,27.5,29.5,30.1,30.5,27.3,26.4,31.2,31.6,28.1,28,29.2,31.5,27.7,27.2,27.1,31,26.4,26.8,30.7,28.9,30,29.7,29.7,32.3,29.3,28.3,31.9,31.1,30.9,30.3,30.6,33.2,31.9,33.7,33.7,34.7,33.4,35.6,34.3,35.7,33.6,35.4,33.4,35.5,34.9,33.5,35.3,34.1,33,38.9,34.2,33.1,33.9,38.1,37.9,35,34.9,41.9,38.8,35.2,27.9
 Services Producing Industries ,"1,991.70","2,019.60","2,105.20","2,206.60","2,154.20","2,156.50","2,282.70","2,407.80","2,344.40","2,355.90","2,485","2,651.50","2,627.60","2,644.30","2,852.50","3,037.10","2,902.70","2,982","3,214.90","3,443.70","3,508.70","3,561.20","3,838.60","4,106.20","4,119.40","4,242.70","4,563.60","4,810.90","4,807.40","4,885.30","5,129.20","5,584.80","5,242.60","5,395","5,701.90","5,915","5,735.70","5,763.80","6,095.40","6,301.20","6,195.70","6,068.40","6,055.80","6,134.50","5,903.80","5,816","5,985.20","6,483.30","6,262.60","6,461.10","6,791.70","7,373.20","7,048.20","7,383.90","7,842.90","8,676.50","7,993","8,757.70","9,302.50","9,917.50","10,170.40","10,320.70","10,803.40","11,528.10","11,003.10","11,359.70","11,875","12,482.30","11,878.20","11,991.50","12,715.90","13,551.40","13,125.80","13,742.60","14,436.10","16,030","15,384.40","15,477.40","16,621.90","17,934","16,763.60","17,324.60","18,459.10","19,376","18,901","19,101.80","19,720.70","21,178.90","20,898.30","21,498.50","22,103.30","22,695.50","20,988.80","20,813.70","20,821.20","21,150.90","20,009.20","21,416.20","21,944.50","23,155.20","22,366.50","22,996.60","24,261","25,097.90","24,514.60","23,922.90","23,715.40","24,139.60","24,762.50","24,624.60","25,050","25,862.60","25,816.50","24,060.80","25,994.50","27,615.70","28,366","28,091.30","29,415.60","30,997.40","30,850.40","31,319.40","32,825.30","34,985.50","34,496.70","34,891.90","36,866","39,945.60","40,042.50","42,305.20","43,654.70","46,144.20","44,843.30","44,190.80","44,660.20","43,373","43,429.90","44,005.60","45,486.60","48,771.60","50,522.60","51,590.80","52,450.90","55,920.80","56,408.40","55,803.40","57,454.90","59,250.30","59,622.20","59,439.40","58,355","62,052.70","62,965.60","63,002.10","63,146.60","65,968","64,588.30","64,280.70","64,840.50","69,130.30","68,203.30","67,498.90","69,487.90","72,911.20","71,189.10","71,148.80","72,875.60","78,210.10","77,666.10","76,682.90","77,708.80","83,378.10","81,222.40","81,077.60","83,171.90","86,369.60","83,690.90","83,036.40","83,959.80","88,154.10","80,990.80","68,126"
 Wholesale & Retail Trade ,672.8,704.9,716,724.8,677.5,711,759.3,783.2,746.8,777.6,826.7,870.6,824.5,832.1,917.7,946.4,883.6,919.2,"1,020.70","1,058.90",985.3,"1,015.70","1,088.30","1,145.10","1,043.10","1,047.10","1,096.30","1,157.90","1,131.40","1,115.50","1,181.30","1,252.90","1,150.10","1,141.20","1,244","1,336.50","1,198.70","1,165.50","1,263.20","1,360.30","1,198.30","1,156","1,143.40","1,185.80","1,090.20","1,126.70","1,171.90","1,272.70","1,121.10","1,302.70","1,352.70","1,466.20","1,312.30","1,548.70","1,608.20","1,709","1,310","1,754","1,832.40","1,866.80","2,120.20","2,118.20","2,104.70","2,312.10","2,360.50","2,404.30","2,491","2,541.80","2,321.90","2,379","2,485.60","2,699.70","2,806.40","2,884.80","3,054.80","3,307.80","3,185","3,298.80","3,481.40","3,741.60","3,579.60","3,718.90","3,954.40","4,125.20","4,113.40","4,091.40","4,223.70","4,539.60","4,303","4,404.50","4,494.80","4,337","4,135.40","4,011.70","3,953.10","4,105.80","4,071.80","4,568.60","4,677.70","5,101.70","4,694.90","5,061.40","5,435.50","5,540.20","5,030.20","5,009.50","4,923.70","5,130.70","5,066.40","5,499.60","5,792.40","5,887.60","5,547.90","5,465.90","5,692.50","6,126.80","6,166","6,669.60","7,191.20","7,665.90","7,661.60","8,329.50","9,080.80","9,583.60","9,245.90","10,041.80","11,014.30","11,754","11,149.10","12,281","12,713.20","12,954.40","11,169.70","11,506.60","11,792.30","10,617.50","10,968.80","12,416.50","13,103.30","13,907.30","13,750.40","14,667.20","14,851.10","15,908.80","15,925.70","17,074.30","17,292.30","17,717.30","16,705.80","17,432","16,370.90","17,129.10","16,878.40","17,053.80","17,084.60","17,478.50","15,996.80","16,323.70","15,784.90","16,619.10","15,244","16,041.90","16,629.30","17,669.30","15,806.70","17,728","18,977.20","21,708.30","19,934.80","19,625.20","19,768.50","22,214.90","20,015.20","21,491.90","22,391.60","22,622","19,861.60","20,624.80","20,833.80","21,858.30","18,000.20","16,232.80"
 Transportation & Storage ,291.2,303.2,331.6,335.6,364,357.9,390.3,404.6,412.4,409.3,464.7,491.6,514.8,514.6,568.9,589.5,575.8,582.7,618.2,643.6,714.5,695.3,770.7,778.1,784.3,824.5,875.3,898.7,889.6,902.4,934.3,936.2,976,"1,056.30","1,090.70","1,059.60","1,074.40","1,150.50","1,114.90","1,118.90","1,130.20","1,163.30","1,187","1,161.90","1,092.20","1,178.40","1,202.30","1,214.70","1,204.50","1,238.40","1,332.80","1,405.60","1,406.90","1,453.70","1,600.40","1,621.90","1,614.30","1,671.90","1,810.20","1,871","1,842","1,863","1,918","1,988.50","1,947.80","2,163.30","2,288.40","2,339.20","2,157","2,089.20","2,251.60","2,243.90","2,258","2,349.80","2,521.70","2,605","2,571.20","2,575.80","2,821.10","2,960","2,828.30","2,932.30","3,075.70","3,128.50","2,980.40","3,066.40","3,099.90","3,305.60","3,105.50","3,267.80","3,266.80","3,527.70","3,113.60","3,213.30","3,247.20","3,304.30","3,247.40","3,410.60","3,589.70","3,747.60","3,647.20","3,733.60","3,996.60","4,087.10","3,585.50","3,470.20","3,502.40","3,675.10","3,548.70","3,545","3,458.10","3,583.70","3,996","3,292.70","4,108.60","4,637.80","4,625.60","4,661","4,816.90","5,133.30","5,064","5,028.70","5,127.50","5,478.20","5,175.60","4,878.80","5,117.10","5,671.20","5,810.50","5,946.50","6,237.70","6,643.20","6,605","6,337.90","6,025.60","6,208.50","5,464.50","5,058.90","5,033","5,898.70","6,252.30","6,280.50","6,333.10","6,405.10","5,625","5,472.80","5,344","5,717.40","5,717.60","5,965.80","5,832.10","6,187.40","5,745.30","6,176.50","6,138.40","6,696.40","6,273.20","6,446.40","6,791.60","7,581.50","7,660","7,373.60","7,385.10","7,595.90","6,842.20","6,829","6,648.40","7,294.50","7,347.30","7,955","7,970.50","8,305.60","7,360.60","7,381","7,750","8,141.50","7,570.20","7,958.10","7,993.80","8,619.80","6,840.30","5,059.50"
