Monthly,"Maximum 
Room-Nights","Available 
Room-Nights","Gross Lettings 
(Room-Nights)",Paid Lettings,Standard Average Occupancy Rate,Standard Average Room Rate,Revenue Per Available Room
Aug-20,846 ,809 ,502 ,500 ,62.1,115.6,71.8
Jul-20,699 ,655 ,426 ,426 ,65.1,82.3,53.6
Jun-20,"1,006 ",959 ,504 ,503 ,52.6,72.6,38.2
May-20,"1,181 ","1,103 ",576 ,574 ,52.2,69.6,36.3
Apr-20,"1,721 ","1,599 ",610 ,606 ,38.1,91.5,34.9
Mar-20,"1,966 ","1,793 ",716 ,712 ,40.0,166.4,66.5
Feb-20,"1,841 ","1,711 ",851 ,848 ,49.7,225.5,112.1
Jan-20,"1,961 ","1,930 ","1,605 ","1,602 ",83.1,228.6,190.1
Dec-19,"1,955 ","1,913 ","1,587 ","1,582 ",82.9,234.1,194.2
Nov-19,"1,880 ","1,841 ","1,635 ","1,631 ",88.8,224.6,199.5
Oct-19,"1,945 ","1,905 ","1,657 ","1,652 ",87.0,224.2,195.0
Sep-19,"1,859 ","1,824 ","1,589 ","1,585 ",87.1,235.8,205.4
Aug-19,"1,858 ","1,833 ","1,694 ","1,690 ",92.4,225.3,208.2
Jul-19,"1,867 ","1,839 ","1,727 ","1,723 ",93.9,217.5,204.2
Jun-19,"1,812 ","1,762 ","1,518 ","1,513 ",86.1,210.7,181.5
May-19,"1,872 ","1,812 ","1,485 ","1,481 ",82.0,206.5,169.3
Apr-19,"1,817 ","1,768 ","1,510 ","1,504 ",85.4,215.0,183.6
Mar-19,"1,878 ","1,829 ","1,542 ","1,538 ",84.3,214.9,181.1
Feb-19,"1,696 ","1,659 ","1,467 ","1,464 ",88.4,224.1,198.2
Jan-19,"1,878 ","1,832 ","1,551 ","1,547 ",84.7,215.9,182.8
Dec-18,"1,878 ","1,838 ","1,482 ","1,477 ",80.6,222.4,179.4
Nov-18,"1,819 ","1,773 ","1,504 ","1,499 ",84.9,218.7,185.6
Oct-18,"1,881 ","1,834 ","1,583 ","1,579 ",86.3,219.5,189.5
Sep-18,"1,820 ","1,771 ","1,511 ","1,507 ",85.3,229.0,195.3
Aug-18,"1,868 ","1,819 ","1,664 ","1,660 ",91.5,217.7,199.2
Jul-18,"1,868 ","1,816 ","1,677 ","1,673 ",92.4,216.3,199.8
Jun-18,"1,815 ","1,749 ","1,495 ","1,490 ",85.4,212.9,181.9
May-18,"1,879 ","1,808 ","1,492 ","1,488 ",82.5,207.1,170.9
Apr-18,"1,819 ","1,755 ","1,496 ","1,490 ",85.2,219.8,187.3
Mar-18,"1,818 ","1,767 ","1,540 ","1,536 ",87.1,220.1,191.8
Feb-18,"1,640 ","1,588 ","1,397 ","1,393 ",88.0,224.3,197.3
Jan-18,"1,815 ","1,737 ","1,449 ","1,444 ",83.4,214.2,178.6
Dec-17,"1,821 ","1,753 ","1,396 ","1,391 ",79.6,221.2,176.1
Nov-17,"1,762 ","1,696 ","1,444 ","1,438 ",85.2,216.2,184.1
Oct-17,"1,825 ","1,752 ","1,456 ","1,452 ",83.1,218.0,181.2
Sep-17,"1,764 ","1,695 ","1,430 ","1,425 ",84.3,229.1,193.2
Aug-17,"1,771 ","1,712 ","1,530 ","1,525 ",89.4,220.0,196.6
