,Region of Residence,,,,,,,,,,Total,Average Length of Stay(Day),Visitor Days
Month,America,Asia,,,,,Europe,Oceania,Africa,Others,,,
,,Southeast Asia,Greater China,North Asia,South Asia,West Asia,,,,,,,
Sep-20,443,"3,770","2,845",568,487,117,"1,007",222,41,0,"9,500",32.7,"311,115"
Aug-20,506,"2,833","2,622",828,717,92,"1,078",181,55,0,"8,912",46.7,"416,057"
Jul-20,443,"2,310","1,410",827,688,136,850,160,19,0,"6,843",52.3,"358,000"
Jun-20,153,"1,100",220,185,147,25,266,66,9,0,"2,171",55.2,"119,780"
May-20,38,574,29,38,86,6,90,18,1,0,880,51.7,"45,464"
Apr-20,13,503,33,34,95,8,47,14,3,0,750,39.1,"29,343"
Mar-20,"15,567","88,027","8,410","12,809","24,252","1,019","67,261","21,275","1,381",0,"240,001",5.8,"1,396,846"
Feb-20,"53,615","247,016","36,496","69,624","64,947","5,452","190,088","62,291","3,435",1,"732,965",4.0,"2,966,812"
Jan-20,"98,789","528,983","413,392","127,547","123,324","13,545","225,192","148,055","9,271",1,"1,688,099",3.5,"5,893,950"
Dec-19,"100,111","662,844","342,169","118,930","146,356","14,752","189,140","133,896","16,333",0,"1,724,531",3.1,"5,395,776"
Nov-19,"82,808","565,600","319,646","125,534","139,027","12,436","179,883","100,790","7,468",1,"1,533,193",3.1,"4,792,682"
Oct-19,"68,545","555,919","331,062","136,703","142,953","12,272","163,975","111,916","6,693",3,"1,530,041",3.3,"4,999,300"
Sep-19,"64,243","511,619","318,853","132,513","129,196","11,778","159,827","127,174","7,960",1,"1,463,164",3.3,"4,826,472"
Aug-19,"71,289","520,891","499,801","173,758","135,490","22,847","203,776","99,718","8,287",0,"1,735,857",3.6,"6,184,723"
Jul-19,"88,651","617,766","498,888","130,550","138,122","20,610","173,054","127,345","7,547",0,"1,802,533",3.4,"6,199,801"
Jun-19,"81,275","622,107","338,983","102,441","170,733","14,874","110,584","103,997","6,787",0,"1,551,781",3.6,"5,631,471"
May-19,"69,224","535,234","349,841","102,715","202,163","8,729","119,895","94,996","4,961",0,"1,487,758",3.5,"5,253,225"
Apr-19,"75,434","554,442","389,374","104,688","145,849","14,102","181,367","124,188","7,246",0,"1,596,690",3.2,"5,150,631"
Mar-19,"91,114","530,301","365,215","131,235","128,593","15,025","213,341","83,728","6,106",0,"1,564,658",3.1,"4,910,538"
Feb-19,"77,043","455,404","423,941","132,146","108,449","9,935","213,198","74,454","4,480",0,"1,499,050",3.5,"5,187,822"
Jan-19,"92,393","491,803","393,850","139,127","126,665","11,527","224,478","137,660","7,083",0,"1,624,586",3.4,"5,556,618"
Dec-18,"85,208","644,044","302,561","105,988","144,231","13,458","175,053","119,602","13,072",0,"1,603,217",3.2,"5,171,058"
Nov-18,"75,548","514,632","280,164","124,453","142,818","10,396","167,566","85,319","6,088",1,"1,406,985",3.1,"4,419,688"
Oct-18,"62,266","533,250","314,537","127,966","140,584","10,437","162,926","109,285","6,129",0,"1,467,380",3.2,"4,695,984"
Sep-18,"56,056","497,316","309,748","124,766","126,605","11,098","159,993","123,418","6,146",3,"1,415,149",3.3,"4,621,816"
Aug-18,"60,752","509,153","487,260","163,269","130,017","21,407","206,031","97,395","7,834",4,"1,683,122",3.5,"5,873,550"
Jul-18,"76,827","583,679","470,287","125,988","145,372","19,564","176,230","126,691","8,256",2,"1,732,896",3.4,"5,902,123"
Jun-18,"70,116","648,291","316,668","98,947","179,143","11,585","108,999","105,642","5,287",1,"1,544,679",3.6,"5,496,725"
May-18,"62,094","533,719","330,962","100,225","218,406","8,787","121,103","90,743","4,851",1,"1,470,891",3.5,"5,123,385"
Apr-18,"69,578","556,681","370,121","94,826","152,229","12,030","168,796","112,641","7,346",0,"1,544,248",3.2,"4,951,587"
Mar-18,"85,412","553,248","349,144","132,206","130,137","20,025","210,751","96,834","6,648",1,"1,584,406",3.2,"5,077,016"
Feb-18,"76,079","451,842","452,920","121,367","102,173","11,038","200,960","70,873","4,715",3,"1,491,970",3.3,"4,997,680"
Jan-18,"81,781","495,111","358,429","139,610","133,622","13,833","204,876","128,660","7,433",4,"1,563,359",3.4,"5,273,809"
Dec-17,"73,679","641,734","305,363","107,072","146,232","14,639","150,754","118,557","11,583",3,"1,569,616",3.2,"5,061,000"
Nov-17,"74,042","503,852","311,846","127,487","109,309","11,524","159,370","93,191","6,705",4,"1,397,330",3.1,"4,325,440"
Oct-17,"54,388","501,024","313,669","118,060","144,299","11,036","149,618","104,578","5,627",0,"1,402,299",3.2,"4,553,634"
Sep-17,"48,313","464,113","289,803","117,359","128,319","13,738","138,100","114,853","5,451",1,"1,320,050",3.3,"4,398,432"
Aug-17,"53,414","477,817","458,502","155,871","118,131","21,152","179,183","88,232","6,979",2,"1,559,283",3.5,"5,506,901"
Jul-17,"66,833","560,387","455,964","121,532","123,743","20,463","154,203","122,061","6,948",1,"1,632,135",3.5,"5,715,596"
Jun-17,"64,461","567,156","283,320","102,427","156,862","12,753","97,934","98,259","4,427",2,"1,387,601",3.6,"5,033,387"
May-17,"54,290","502,134","298,939","106,798","195,198","10,189","107,646","83,916","4,787",0,"1,363,897",3.5,"4,840,583"
Apr-17,"55,814","555,812","338,068","95,081","134,505","12,708","163,089","108,478","7,195",0,"1,470,750",3.3,"4,825,189"
Mar-17,"72,468","534,535","328,080","126,243","107,296","22,042","188,890","95,041","5,566",0,"1,480,161",3.2,"4,663,323"
Feb-17,"68,575","437,738","342,756","132,843","95,038","11,749","188,107","79,801","4,403",0,"1,361,010",3.4,"4,659,440"
Jan-17,"72,376","478,812","389,744","113,643","100,555","12,581","177,009","128,719","7,040",0,"1,480,479",3.5,"5,207,367"
Dec-16,"67,650","637,752","286,667","101,187","123,606","14,895","150,103","113,380","10,784",110,"1,506,134",3.2,"4,841,236"
Nov-16,"60,401","465,948","247,733","100,810","114,255","11,281","144,990","83,536","6,478",1,"1,235,433",3.2,"3,942,383"
Oct-16,"53,083","471,598","232,317","97,212","119,033","11,017","149,426","97,974","6,015",0,"1,237,675",3.3,"4,113,698"
Sep-16,"42,901","413,178","232,061","106,835","97,415","17,859","123,106","105,400","5,308",0,"1,144,063",3.5,"4,037,892"
Aug-16,"48,661","447,752","433,176","155,678","107,278","22,592","167,971","92,290","6,478",0,"1,481,876",3.6,"5,299,168"
Jul-16,"59,258","607,290","430,751","119,480","115,028","24,247","140,279","119,907","6,165",0,"1,622,405",3.5,"5,742,975"
Jun-16,"56,233","493,485","302,687","98,803","130,189","8,629","86,155","90,417","3,932",1,"1,270,531",3.7,"4,638,202"
May-16,"50,578","541,795","304,453","99,965","164,572","11,708","103,933","75,598","4,941",0,"1,357,543",3.5,"4,740,850"
Apr-16,"52,570","516,058","346,908","91,011","121,482","12,264","141,925","105,445","6,308",1,"1,393,972",3.3,"4,650,846"
Mar-16,"63,521","499,023","328,713","120,159","99,974","20,822","181,967","86,381","6,045",2,"1,406,607",3.2,"4,541,914"
Feb-16,"58,800","440,596","373,011","123,252","82,979","11,158","173,348","68,362","3,591",0,"1,335,097",3.5,"4,707,697"
Jan-16,"66,988","473,005","302,777","136,486","103,184","14,073","179,868","129,377","6,364",1,"1,412,123",3.5,"4,962,193"
Dec-15,"60,391","612,913","240,080","111,637","114,739","15,497","147,577","113,008","9,136",0,"1,424,978",3.3,"4,704,237"
Nov-15,"55,155","455,128","221,707","112,895","109,202","11,096","146,342","87,045","5,417",5,"1,203,992",3.3,"3,979,155"
Oct-15,"52,973","465,052","236,418","117,039","110,301","10,882","139,262","109,160","5,857",3,"1,246,947",3.5,"4,303,210"
Sep-15,"42,354","414,155","219,786","113,105","91,560","15,313","119,898","110,596","5,206",3,"1,131,976",3.6,"4,096,306"
Aug-15,"49,942","444,137","408,047","153,400","101,316","22,048","163,413","96,656","6,102",1,"1,445,062",3.7,"5,414,418"
Jul-15,"56,521","579,570","383,975","116,129","106,930","20,337","136,833","113,554","5,383",1,"1,519,233",3.6,"5,458,256"
Jun-15,"55,325","496,392","222,897","90,541","121,413","9,962","88,472","95,694","4,051",0,"1,184,747",3.8,"4,560,922"
May-15,"48,014","512,074","214,376","96,909","151,623","10,058","99,889","85,227","4,663",3,"1,222,836",3.8,"4,588,889"
Apr-15,"49,143","478,213","243,881","88,349","108,179","12,262","128,157","94,029","6,410",1,"1,208,624",3.7,"4,421,877"
Mar-15,"64,764","461,999","198,908","122,861","91,552","16,316","160,349","79,761","5,138",0,"1,201,648",3.7,"4,388,579"
Feb-15,"57,924","380,389","327,971","113,888","76,576","9,073","147,155","72,276","3,562",4,"1,188,818",3.6,"4,319,792"
Jan-15,"64,780","448,133","207,586","130,360","94,529","13,037","158,529","129,274","6,377",3,"1,252,608",3.8,"4,751,474"
Dec-14,"57,955","619,198","192,653","112,880","107,009","14,667","137,315","109,269","9,594",1,"1,360,541",3.5,"4,790,495"
Nov-14,"52,340","463,159","194,072","109,720","92,377","10,844","134,238","81,969","5,507",4,"1,144,230",3.6,"4,097,018"
Oct-14,"47,969","485,039","200,246","113,472","110,357","14,898","129,264","97,886","4,191",205,"1,203,527",3.6,"4,337,756"
Sep-14,"42,437","436,327","173,014","113,725","85,979","11,961","120,902","109,434","4,846",1,"1,098,626",3.8,"4,121,323"
Aug-14,"47,977","480,265","305,291","151,961","95,406","27,567","153,482","94,518","6,468",0,"1,362,935",3.9,"5,338,418"
Jul-14,"54,556","568,294","309,197","116,155","91,829","16,438","124,542","121,954","5,435",0,"1,408,400",3.8,"5,322,328"
Jun-14,"50,633","552,708","167,167","93,685","117,244","12,928","88,947","93,721","4,382",7,"1,181,422",4.0,"4,714,126"
May-14,"46,359","549,855","172,254","96,160","138,919","9,852","100,622","90,197","4,305",9,"1,208,532",3.9,"4,743,551"
Apr-14,"48,811","511,901","224,305","87,061","103,761","12,344","140,349","110,478","6,291",6,"1,245,307",3.7,"4,636,898"
Mar-14,"66,875","508,913","232,681","127,048","90,346","15,614","168,535","82,577","4,948",14,"1,297,551",3.5,"4,491,694"
Feb-14,"58,987","440,212","287,243","121,222","81,187","11,577","156,630","76,921","4,238",22,"1,238,239",3.5,"4,385,128"
Jan-14,"60,370","497,205","264,443","119,359","85,714","11,464","162,551","138,986","5,729",21,"1,345,842",3.7,"5,046,492"
Dec-13,"55,788","626,753","188,271","106,966","109,328","14,064","138,066","118,586","9,575",7,"1,367,404",3.5,"4,740,375"
Nov-13,"51,911","505,058","182,352","113,069","93,631","9,690","135,130","88,211","4,932",18,"1,184,002",3.5,"4,148,287"
Oct-13,"50,079","512,989","180,418","108,282","93,071","15,847","130,033","108,090","4,917",20,"1,203,746",3.6,"4,278,364"
Sep-13,"43,109","445,923","241,300","109,529","84,032","11,861","117,020","117,498","5,852",18,"1,176,142",3.5,"4,122,675"
Aug-13,"49,860","585,102","348,046","138,341","90,823","24,739","150,069","91,154","5,357",29,"1,483,520",3.6,"5,375,349"
Jul-13,"56,981","512,094","366,741","112,139","94,977","12,094","130,507","128,840","5,242",42,"1,419,657",3.5,"4,940,274"
Jun-13,"56,119","557,007","243,393","94,290","121,033","13,492","94,881","103,351","5,298",86,"1,288,950",3.6,"4,634,622"
May-13,"47,760","534,890","263,093","89,444","141,973","8,816","101,794","95,910","4,506",96,"1,288,282",3.5,"4,524,935"
Apr-13,"52,338","497,388","293,857","84,637","101,705","11,626","123,042","104,538","5,056",59,"1,274,246",3.3,"4,244,330"
Mar-13,"62,006","523,832","280,596","124,217","91,079","14,304","170,603","95,912","5,755",587,"1,368,891",3.2,"4,421,356"
Feb-13,"54,112","405,346","342,660","108,731","76,153","9,734","144,455","76,189","3,659",326,"1,221,365",3.4,"4,187,900"
Jan-13,"61,382","460,013","256,173","116,158","92,370","10,529","155,741","132,869","6,338",145,"1,291,718",3.6,"4,597,589"
Dec-12,"57,292","593,887","236,886","100,909","103,142","12,180","131,438","115,234","8,884",684,"1,360,536",3.3,"4,532,209"
Nov-12,"52,501","484,855","235,903","104,935","93,535","9,208","131,485","93,865","5,397",395,"1,212,079",3.2,"3,933,320"
Oct-12,"50,635","465,620","231,172","97,453","92,897","12,244","124,645","112,576","4,910",428,"1,192,580",3.4,"3,999,512"
Sep-12,"41,010","407,516","183,313","97,357","78,515","10,867","113,107","113,926","5,498",239,"1,051,348",3.6,"3,813,713"
Aug-12,"46,622","517,640","286,756","130,287","84,393","16,915","134,641","91,197","5,106",47,"1,313,604",3.7,"4,858,870"
Jul-12,"55,947","481,014","288,258","103,740","89,931","15,998","122,181","120,719","5,809",14,"1,283,611",3.6,"4,684,476"
Jun-12,"52,552","502,674","182,892","86,815","114,364","14,077","87,205","106,256","5,083","5,821","1,157,739",3.8,"4,390,302"
May-12,"46,711","490,836","195,027","83,112","142,003","8,702","91,559","84,044","4,451",3,"1,146,448",3.7,"4,247,752"
Apr-12,"47,323","493,900","246,075","80,556","98,688","10,029","126,201","92,969","6,211",1,"1,201,953",3.5,"4,256,055"
Mar-12,"60,074","484,166","240,492","109,198","82,938","15,711","165,101","79,598","5,855",0,"1,243,133",3.3,"4,144,372"
Feb-12,"54,048","424,993","217,565","112,776","78,699","10,478","159,924","71,466","4,508",97,"1,134,554",3.5,"3,951,007"
Jan-12,"51,653","432,507","270,576","96,683","73,360","10,230","150,022","107,329","6,107",40,"1,198,507",3.8,"4,527,019"
Dec-11,"47,529","560,480","167,257","92,226","102,226","12,264","128,389","96,626","9,634",6,"1,216,637",3.6,"4,419,527"
Nov-11,"48,158","414,851","149,816","94,486","89,970","14,584","130,163","80,355","5,403",1,"1,027,787",3.7,"3,773,441"
Oct-11,"47,929","437,413","184,153","91,377","95,389","9,542","117,723","95,623","6,042",2,"1,085,193",3.6,"3,874,271"
Sep-11,"37,354","450,741","156,030","92,553","76,611","13,020","104,492","96,987","5,934",25,"1,033,747",3.8,"3,883,340"
Aug-11,"43,227","449,333","263,202","116,472","78,694","13,462","124,298","84,623","5,200",0,"1,178,511",3.8,"4,514,680"
Jul-11,"53,651","497,719","277,466","96,250","93,197","22,187","113,854","112,000","7,454",92,"1,273,870",3.7,"4,768,749"
Jun-11,"47,880","490,223","164,488","72,355","108,583","12,476","80,166","98,646","5,249",0,"1,080,066",3.9,"4,230,819"
May-11,"43,167","447,119","169,371","75,400","131,217","9,512","87,405","86,375","4,536",2,"1,054,104",3.8,"4,052,203"
Apr-11,"45,449","456,954","205,001","66,392","94,611","9,340","121,349","97,698","6,525",1,"1,103,320",3.7,"4,111,049"
Mar-11,"56,454","434,867","179,323","89,686","74,389","17,157","140,756","73,806","5,521",1,"1,071,960",3.5,"3,803,141"
Feb-11,"43,634","377,595","209,673","95,076","65,802","10,652","120,443","63,345","3,897",1,"990,118",3.7,"3,626,254"
Jan-11,"49,308","396,955","181,388","89,922","80,526","10,097","132,616","107,333","7,843",2,"1,055,990",3.8,"4,062,250"
Dec-10,"44,765","533,890","146,472","74,178","96,082","10,819","116,043","95,127","10,205",0,"1,127,581",3.7,"4,151,209"
Nov-10,"43,978","391,582","138,429","79,441","89,484","13,507","129,448","72,468","5,830",3,"964,170",3.6,"3,508,715"
Oct-10,"45,972","410,399","140,932","72,547","92,987","9,647","113,339","87,077","6,013",0,"978,913",3.7,"3,618,382"
Sep-10,"34,775","447,797","117,856","70,739","71,215","12,752","95,864","90,846","5,739",2,"947,585",3.9,"3,725,418"
Aug-10,"44,148","361,982","202,152","90,929","75,340","13,658","123,392","78,296","6,994",8,"996,899",4.2,"4,152,356"
Jul-10,"50,467","456,012","191,372","77,397","86,537","20,156","107,517","99,208","6,376",5,"1,095,047",3.9,"4,249,141"
Jun-10,"46,349","433,880","117,363","66,601","102,568","11,631","82,013","85,528","5,095",4,"951,032",4.1,"3,931,364"
May-10,"40,131","403,211","122,304","69,073","133,278","8,692","92,340","72,648","4,999",0,"946,676",4.0,"3,782,770"
Apr-10,"43,034","390,638","143,627","60,001","94,417","9,170","113,930","77,745","6,449",2,"939,013",3.8,"3,592,102"
Mar-10,"46,657","360,196","130,797","82,015","70,804","17,358","144,873","70,292","5,907",4,"928,903",3.7,"3,442,612"
Feb-10,"39,669","300,249","187,197","70,307","59,574","10,370","124,919","60,674","4,418",10,"857,387",3.7,"3,207,936"
Jan-10,"44,900","331,917","135,038","77,235","74,021","8,796","130,002","99,207","7,363",16,"908,495",3.9,"3,561,631"
Dec-09,"42,170","434,660","120,167","60,515","91,153","9,917","110,895","92,248","10,506",2,"972,233",3.8,"3,656,741"
Nov-09,"43,839","321,009","123,723","58,613","66,228","10,364","122,820","77,327","6,248",2,"830,173",3.7,"3,067,487"
Oct-09,"41,428","314,781","123,066","59,384","85,135","7,365","114,992","92,106","6,693",3,"844,953",3.8,"3,191,924"
Sep-09,"30,958","339,293","92,360","68,331","72,841","8,743","98,164","83,704","5,101",1,"799,496",4.0,"3,167,384"
Aug-09,"40,065","289,154","141,676","83,076","73,878","12,389","120,519","77,091","6,801",0,"844,649",4.1,"3,450,428"
Jul-09,"45,315","327,832","124,316","77,111","87,003","14,654","107,151","91,338","7,357",30,"882,107",4.0,"3,503,771"
Jun-09,"39,140","320,157","76,165","49,216","95,946","9,494","78,469","76,157","5,626",34,"750,404",4.2,"3,184,048"
May-09,"33,982","286,750","86,145","51,730","104,524","7,251","82,992","68,000","5,007",10,"726,391",4.2,"3,051,895"
Apr-09,"36,347","292,558","128,044","53,014","73,709","7,817","108,721","72,719","6,044",2,"778,975",4.0,"3,091,791"
Mar-09,"41,421","283,896","125,937","67,628","61,328","14,730","130,029","60,594","5,570",103,"791,236",3.8,"2,974,177"
Feb-09,"35,014","231,174","113,312","70,257","56,130","7,176","116,089","56,345","4,438",0,"689,935",4.0,"2,741,547"
Jan-09,"38,044","243,584","145,972","63,943","61,028","7,109","116,663","88,918","6,874",3,"772,138",4.2,"3,279,749"
Dec-08,"41,347","364,652","101,998","69,963","84,023","10,542","116,318","88,456","10,628",74,"888,001",3.9,"3,457,927"
Nov-08,"40,132","266,543","111,753","72,743","73,883","7,112","117,515","68,586","6,482",576,"765,325",3.9,"3,004,656"
Oct-08,"41,640","317,385","111,262","78,748","85,228","8,528","110,068","88,100","7,873",568,"849,400",3.9,"3,291,323"
